\NonBreakingSpace  
\softcy ь
\ordm º
\Nscr 𝒩
\owns ∋
\phi ϕ
\efr 𝔢
\nesear ⤨
\marker ▮
\lneq ≨
\parallet ????
\ndash –
\DoubleLeftTee ⫤
\lArr ⇐
\becaus ∵
\RightTee ⊢
\Ocy О
\ntlg ≸
\cacute ć
\wopf 𝕨
\Cup ⋓
\Uscr 𝒰
\NotHumpEqual ≏̸
\rnmid ⫮
\nsupE ⊉
\bemptyv ⦰
\lsqb [
\nrarr ↛
\egs ⋝
\reals ℝ
\CupCap ≍
\Oacute Ó
\Zfr ℨ
\ReverseEquilibrium ⇋
\ccedil ç
\bigtriangleup △
\piv ϖ
\cirscir ⧂
\exists ∃
\Uarrocir ⥉
\Dcy Д
\cscr 𝒸
\zcaron ž
\isinE ⋹
\gtcir ⩺
\hookrightarrow ↪
\Int ∬
\nsupe ⊉
\dotplus ∔
\ncup ⩂
\jscr 𝒿
\angmsdaa ⦨
\Iukcy І
\flat ♭
\bNot ⫭
\angmsdab ⦩
\angmsdac ⦪
\xdtri ▽
\iota ι
\angmsdad ⦫
\angmsdae ⦬
\rightarrowtail ↣
\angmsdaf ⦭
\Ocirc Ô
\angmsdag ⦮
\Ofr 𝔒
\maltese ✠
\angmsdah ⦯
\Del ∇
\Barwed ⌆
\drbkarow ⤐
\qscr 𝓆
\ETH Ð
\operp ⦹
\daleth ℸ
\bull •
\simlE ⪟
\lsquo ‘
\Larr ↞
\curarr ↷
\blacktriangleleft ◂
\hellip …
\DoubleVerticalBar ∥
\rBarr ⤏
\chcy ч
\varpi ϖ
\Cconint ∰
\xlarr 
\xscr 𝓍
\DoubleLongRightArrow 
\CounterClockwiseContourIntegral ∳
\urcrop ⌎
\RightAngleBracket 〉
\Rcaron Ř
\latail ⤙
\pitchfork ⋔
\nvinfin ⧞
\hcirc ĥ
\nexist ∄
\checkmark ✓
\tridot ◬
\vcy в
\isins ⋴
\fllig ﬂ
\Dfr 𝔇
\hercon ⊹
\gEl ⋛
\bump ≎
\aleph ℵ
\Ubreve Ŭ
\isinv ∈
\smile ⌣
\llcorner ⌞
\boxH ═
\ecir ≖
\varnothing ∅
\iuml ï
\mlcp ⫛
\leftrightharpoons ⇋
\ncong ≇
\Vert ‖
\vee ∨
\star ⋆
\boxV ║
\LeftRightArrow ↔
\leftrightarrow ↔
\lstrok ł
\ell ℓ
\VerticalSeparator ❘
\Ubrcy Ў
\NotGreater ≯
\Abreve Ă
\TildeTilde ≈
\CircleTimes ⊗
\subsetneq ⊊
\ltcc ⪦
\els ⋜
\succneqq ⪶
\kcy к
\nshortmid ∤︀
\mldr …
\harr ↔
\gimel ℷ
\Otimes ⨷
\vsubnE ⊊︀
\ltdot ⋖
\boxh ─
\notin ∉
\RuleDelayed ⧴
\sqsube ⊑
\macr ¯
\Icirc Î
\comma ,
\Cayleys ℭ
\rightleftharpoons ⇌
\Rarrtl ⤖
\SquareSubsetEqual ⊑
\NotGreaterEqual ≱⃥
\vfr 𝔳
\utri ▵
\simne ≆
\LeftUpVectorBar ⥘
\hksearow ⤥
\boxv │
\curvearrowleft ↶
\eng ŋ
\gtrarr ⥸
\iecy е
\varr ↕
\lBarr ⤎
\ker ker
\imath ı
\Dstrok Đ
\rlarr ⇄
\leftleftarrows ⇇
\DifferentialD ⅆ
\because ∵
\ulcrop ⌏
\prE ⪯
\oast ⊛
\DotEqual ≐
\vsubne ⊊︀
\hbar ℏ︀
\subset ⊂
\UpTeeArrow ↥
\LeftFloor ⌊
\kfr 𝔨
\nisd ⋺
\scnE ⪶
\Ucy У
\nprec ⊀
\ltrPar ⦖
\Scaron Š
\InvisibleComma ​
\SquareUnion ⊔
\ffllig ﬄ
\approxeq ≊
\yacute ý
\pre ⪯
\nsqsupe ⋣
\supset ⊃
\bsolhsub \⊂
\nshortparallel ∦︀
\lozenge ◊
\lnot ¬
\Dopf 𝔻
\leftharpoonup ↼
\Jcy Й
\rightarrow →
\ntriangleright ⋫
\Ccirc Ĉ
\eacute é
\acute ´
\Precedes ≺
\middot ·
\lHar ⥢
\eparsl ⧣
\psi ψ
\parsl ∥︀
\UpperLeftArrow ↖
\oror ⩖
\Kopf 𝕂
\apacir ⩯
\dharl ⇃
\nequiv ≢
\rightleftarrows ⇄
\UnderParenthesis ︶
\notni ∌
\dagger †
\dharr ⇂
\twoheadleftarrow ↞
\frac12 ½
\varsubsetneqq ⊊︀
\frac13 ⅓
\Ufr 𝔘
\NestedLessLess ≪
\llarr ⇇
\frac14 ¼
\frac15 ⅕
\Ropf ℝ
\frac16 ⅙
\lrtri ⊿
\frac18 ⅛
\cedil ¸
\subsim ⫇
\PrecedesTilde ≾
\igrave ì
\gjcy ѓ
\LeftVector ↼
\notniva ∌
\notnivb ⋾
\ogon ˛
\notnivc ⋽
\Yopf 𝕐
\there4 ∴
\udarr ⇅
\bkarow ⤍
\frac23 ⅔
\frac25 ⅖
\njcy њ
\Dashv ⫤
\eta η
\bcong ≌
\Ugrave Ù
\csube ⫑
\clubs ♣
\supmult ⫂
\MinusPlus ∓
\Jfr 𝔍
\ensp  
\ucirc û
\supsim ⫈
\eth ð
\OverBrace ︷
\Dot ¨
\xcap ⋂
\vangrt ⊾
\NotSubsetEqual ⊈
\frac34 ¾
\frac35 ⅗
\planck ℏ︀
\lnsim ⋦
\gopf 𝕘
\frac38 ⅜
